2026-02-23 14:20:19.859 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 182516:491880 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:20:19.859 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 182516:491880 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:20:19.859 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 182516:491880 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:23:38.617 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 464040:523104 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:23:38.617 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 464040:523104 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:23:38.617 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 464040:523104 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:23:47.794 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 489296:520412 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:23:47.794 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 489296:520412 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:23:47.794 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 489296:520412 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:55:52.122 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 508648:381156 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:55:52.122 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 508648:381156 | {'diagnostics': True} - Debug mode: True
